%time,field.hdr.seq,field.hdr.stamp,field.hdr.frame_id,field.del_pos0,field.del_pos1,field.del_pos2,field.del_pos3,field.del_pos4,field.del_pos5,field.tf_incr0.translation.x,field.tf_incr0.translation.y,field.tf_incr0.translation.z,field.tf_incr0.rotation.x,field.tf_incr0.rotation.y,field.tf_incr0.rotation.z,field.tf_incr0.rotation.w,field.tf_incr1.translation.x,field.tf_incr1.translation.y,field.tf_incr1.translation.z,field.tf_incr1.rotation.x,field.tf_incr1.rotation.y,field.tf_incr1.rotation.z,field.tf_incr1.rotation.w
1529453241891772606,0,1529453241891627134,,0,0,0,0,0,0,0.0,0.444810753964,-2.96684064169,0.0,0.0,0.0,1.0,0.0,-0.869423693098,-2.87125450664,0.0,0.0,0.0,1.0
1529453241892683857,0,1529453241892628503,,0,0,0,0,0,0,0.0,0.444810753964,-2.96684064169,0.0,0.0,0.0,1.0,0.0,-0.869423693098,-2.87125450664,0.0,0.0,0.0,1.0
1529453241893703105,0,1529453241893627538,,0,0,0,0,0,0,0.0,0.444810753964,-2.96684064169,0.0,0.0,0.0,1.0,0.0,-0.869423693098,-2.87125450664,0.0,0.0,0.0,1.0
1529453241894697101,0,1529453241894626271,,0,0,0,0,0,0,0.0,0.444810753964,-2.96684064169,0.0,0.0,0.0,1.0,0.0,-0.869423693098,-2.87125450664,0.0,0.0,0.0,1.0
1529453241895693372,0,1529453241895626214,,0,0,0,0,0,0,0.0,0.444810753964,-2.96684064169,0.0,0.0,0.0,1.0,0.0,-0.869423693098,-2.87125450664,0.0,0.0,0.0,1.0
1529453241896699268,0,1529453241896627483,,0,0,0,0,0,0,0.0,0.444810753964,-2.96684064169,0.0,0.0,0.0,1.0,0.0,-0.869423693098,-2.87125450664,0.0,0.0,0.0,1.0
1529453241897706047,0,1529453241897626411,,0,0,0,0,0,0,0.0,0.444810753964,-2.96684064169,0.0,0.0,0.0,1.0,0.0,-0.869423693098,-2.87125450664,0.0,0.0,0.0,1.0
1529453241898700247,0,1529453241898625781,,0,0,0,0,0,0,0.0,0.444810753964,-2.96684064169,0.0,0.0,0.0,1.0,0.0,-0.869423693098,-2.87125450664,0.0,0.0,0.0,1.0
1529453241899697444,0,1529453241899626163,,0,0,0,0,0,0,0.0,0.444810753964,-2.96684064169,0.0,0.0,0.0,1.0,0.0,-0.869423693098,-2.87125450664,0.0,0.0,0.0,1.0
1529453241900695322,0,1529453241900625881,,0,0,0,0,0,0,0.0,0.444810753964,-2.96684064169,0.0,0.0,0.0,1.0,0.0,-0.869423693098,-2.87125450664,0.0,0.0,0.0,1.0
